제목	본문요약
"자책골까지?" 伊-터키 득점자 모조리 맞춘 '문어인간' 등장이요	이탈리아와 터키의  개막전을 앞두고 한 팬이 이날 경기 득점자를 정확하게 예측한 사실이 드러났다. 트위터 아이디 'Vanexxxxx'는 11일(현지시간) 이탈리아 로마 스타디오 올림피코에서 열린 이탈리아와 터키의...
'이 조합 그립네'...호날두+크로스 재회 본 레알 팬들, "다시 함께 뛰어줘!"	포르투갈은 20일 오전 1시(한국시간) 독일 뮌헨에 위치한 알리안츠 아레나에서 유럽축구연맹(UEFA)  F조 2차전에서 독일에 2-4로 패했다. 이로써 포르투갈은 승점 획득에 실패하며 조 3위(승점3), 독일이 첫 승을...
'나도 연봉 올려줘!' 코망, 뮌헨 재계약 거절...EPL행 원한다	EPL 진출 욕구를 언급하며 재정적으로 여유 있는 맨체스터 시티 이적 가능성을 내다봤다. 코망은 이번  프랑스 최종 명단에 발탁돼 대회를 치르고 있다. 코망의 거취는 가 끝난 뒤 결정될 것으로 보인다.
'아약스 동료' 블린트의 눈물, "에릭센의 심장 마비, 나도 겪어봐서 더 큰 충격"	에릭센은 지난 13일 덴마크 코펜하겐에서 열린 유럽축구선수권대회() B조 조별리그 1차전 핀란드와 경기 중 갑자기 쓰러졌다. 0-0으로 맞선 전반 42분 왼쪽 터치라인 부근에서 아무런 외부 충격 없이 혼자 쓰러진...
[김윤일의 역주행] 쓰러진 에릭센과 혹사, 상업 축구의 민낯	FIFA 월드컵만큼 축구팬들의 흥미를 자아내는 2020 UEFA 유럽선수권()이 막을 올렸다. 하지만 대회 초반, 선수가 경기 도중 쓰러지는 아찔한 상황이 발생했고 ‘혹사’ 논란이 불가피해졌다. 덴마크 축구대표팀의...
뚜껑 열어보니 이탈리아가 우승후보…10경기 31골 넣는 동안 무실점	이탈리아는 로마 스타디오 올림피코에서 열린  A조 조별예선 2차전에서 스위스를 3-0으로 이겼다. 이로써 이탈리아는 남은 경기 결과에 관계없이 16강에 올랐다. 본선 참가 중인 24개 팀 중 처음으로 16강 진출을...
슬로바키아, 10명으로 버틴 폴란드 2-1 제압…레반도프스키 침묵	슬로바키아가 10명이 싸우며 특급 골잡이 로베르트 레반도프스키(뮌헨)도 침묵한 폴란드를 제압하고 2020 유럽축구선수권대회() 첫 경기를 승리로 장식했다. 슬로바키아는 15일(한국시간) 러시아...
‘손흥민 前동료’ 에릭센, 경기중 실신 충격… 경기 중단 결정	덴마크와 핀란드는 13일 오전(한국시간) 덴마크의 코펜하겐의 파르켄 스타디움에서 열린  조별리그 B조 1차전 도중 전반 막판 덴마크 미드필더 크리스티안 에릭센이 쓰러지면서 경기를 중단한채 마쳤다. 전반...
英감독, 스코틀랜드전 무승부 후 "한 사람 문제 아냐...응원 필요해"	잉글랜드는 19일 오전 4시(한국시간) 영국 런던에 위치한 웸블리 스타디움에서 유럽축구연맹(UEFA)  D조 조별리그 2차전에서 스코틀랜드와 0-0 무승부를 기록했다. 이로써 잉글랜드는 승점 4점으로 골득실에서 1위...
아침에 일어나자마자 참담한 소식 들었을 손흥민...곧바로 응답했다	그가 토트넘 전 동료인 크리스티안 에릭센과 어깨동무하고 활짝 웃는 사진이다.이날 에릭센은 덴마크 축구 국가대표팀으로 출전해 핀란드와 치른  경기에서 의식을 잃고 쓰러졌다. 갑작스런 심정지로 인해...
체코 감독의 증언 "쉬크 45m 장거리 득점, 연습의 결과물이야"	14일(한국시간) 스코틀랜드 글래스고에 위치한 햄던파크에서 열린  D조 1차전 경기에서 체코가 스코틀랜드를 2-0으로 이겼다. 쉬크가 2골을 넣었다. 두 명의 수비 사이를 뚫고 헤더로 넣은 선제골도 눈에 띄었지만...
[한준의 작전판] '웸블리 졸전' 잉글랜드, 창의성 없이 우승 못 한다	역대 가장 화끈한 경기가 이어지고 있는  대회에서 기대에 못미친 첫 경기는 잉글랜드와 스코틀랜드의 D조 2차전 경기였다. 역사적 라이벌이 유로1996 대회 이후 25년 만에 본선에서 맞붙는다는 스토리로 화제를...
맨유, '모드리치 상대로 승리'한 미드필더 노린다	필립스는 13일 런던 웸블리 스타디움에서 치러진 잉글랜드와 크로아티아의 UEFA  조별 예선 D조 1차전에서 선발 출전했다. 라힘 스털링의 결승 골로 잉글랜드가 1-0 승리를 거둔 이 경기에서 필립스는 훌륭한...
'자기관리 끝판왕' 호날두, 기자회견서 '짜증 폭발'	지난 14일(한국시간) 포르투갈의 주장 호날두는 페르난도 산토스 감독과 함께 유럽축구연맹(UEFA)  헝가리와의 첫 경기에 앞선 기자회견에 참석했다. 기자회견을 위해 마련된 자리에 앉은 호날두는 돌연 불쾌함을...
에릭센 생각하며 뛴 손흥민 "경기 내내 마음 불편했다" [MK현장]	에릭센은 이날 ‘’ B조 조별리그 첫 경기 핀란드와의 경기에 선발출전했지만 전반 42분 갑작스럽게 심정지가 일어나면서 쓰러졌다. 다행히 응급조치 후 병원으로 이송된 뒤 의식을 회복한 것으로 알려졌다....
'독설가' 무리뉴, 잉글랜드 비판..."이기려는 시도조차 안 했어!"	잉글랜드는 19일 오전 4시(한국시간) 영국 런던에 위치한 웸블리 스타디움에서 유럽축구연맹(UEFA)  D조 조별리그 2차전에서 스코틀랜드와 0-0 무승부를 기록했다. 이로써 잉글랜드는 승점 4점으로 골득실에서 1위...
'독설가' 무리뉴, 잉글랜드 비판..."이기려는 시도조차 안 했어!"	잉글랜드는 19일 오전 4시(한국시간) 영국 런던에 위치한 웸블리 스타디움에서 유럽축구연맹(UEFA)  D조 조별리그 2차전에서 스코틀랜드와 0-0 무승부를 기록했다. 이로써 잉글랜드는 승점 4점으로 골득실에서 1위...
맨유, 방출 명단에 마샬 포함…태도 문제가 이유	마샬은 한때 프랑스 국가대표의 미래로까지 평가받았지만 현재는  프랑스 대표팀 명단에도 제외됐다. '더 선'은 "맨유는 마샬의 대가로 적당한 현금이나 다른 선수를 원하고 있다"고 알렸다. 스포티비뉴스...
'음바페 쿨하네'..."지루 불평? 한 경기에서 365번 느끼는데?"	프랑스는 16일(한국시간) 독일 뮌헨에 위치한 알리안츠 아레나에서 독일과  F조 조별리그 1차전을 치른다. 경기를 앞두고 프랑스에 사소한 문제가 생겼다. 음바페와 지루의 불화설이 등장한 것. 사건의 발단은...
“오늘이 가장 싸다” 프라다, 한 달 새 2번 가격 인상	가격을 문의하고, 매장에서 정보를 얻는 수밖에 없다”고 말했다. 한편, 모니터에 따르면 년 국내 명품시장 규모는 전년 대비 0.1% 하락한 14조 9900억원을 기록했다. 이는 전 세계에서 7번째로 큰 규모다. 윤정훈
36세 호날두, 여전히 HOT하네! 맨유 이어 레알·PSG도 관심	소식통은 "이 끝나야 윤곽이 나올 것 같다"고 말했다. 2021~2022 시즌부터 유벤투스 지휘봉을 잡은 마시밀리아노 알레그리 신임 감독은 벌써 호날두와 통화까지 했다. ESPN은 "프리시즌 훈련에 대해 둘은 더...
"골칫거리-존재감無-당연한 교체"...英매체, '2G 유효슈팅 0개' 케인 혹평	잉글랜드는 19일 오전 4시(한국시간) 영국 런던에 위치한 웸블리 스타디움에서 유럽축구연맹(UEFA)  D조 조별리그 2차전에서 스코틀랜드와 0-0 무승부를 기록했다. 이로써 승점 4점을 기록한 잉글랜드는 체코에...
엔리케, 라모스에게 전화 걸어 유로 명단 제외 알렸다	라모스,  출전 좌절 '충격' 스페인 대표팀이 핵심 수비수 세르히오 라모스(35) 없이 EURO  본선에 나선다. 라모스의 실전 감각을 우려한 루이스 엔리케 스페인 감독이 그를 명단에서 아예 제외하는 초강수를 뒀다....
[공식발표] 에릭센 심정지로 심폐소생술...덴마크 vs 핀란드 경기 중단 결정	덴마크와 핀란드는 13일 오전 1시(한국시간) 덴마크 코펜하겐에 위치한 파르켄 스타디움에서  B조 조별리그 1차전 경기를 치르고 있었다. 상황은 전반 40분 경 발생했다. 스로인 상황에서 에릭센이 공을 받은 뒤...
"맨유 꿈도 꿈지마"…도르트문트가 찜한 '꼭 지켜야 할 선수'	조별리그 D조 크로아티아와 1차전에서 후반 37분 해리 케인을 대신해 피치를 밟았다. 17세349일 나이로 유로 본선 역대 최연소 출전 기록을 경신했다. 종전 기록은 유로 2012에서 네덜란드 제트로 빌렘스(27...
국내 탄산수 시장 5년 만에 29% 성장…저칼로리 탄산음료도 ↑	한국농수산식품유통공사(aT) 식품산업통계정보가 시장조사기관 모니터를 인용한 오늘(23일) 자료를 보면 국내 탄산수 판매량은 2015년 1천890만ℓ에서 년 2천430만ℓ로 28.6% 증가했습니다. 모니터는...
[442.euro] 웨일스는 노련했고, 터키는 설익었다	‘’ A조는 예상과 조금 반대로 흘렀다. A조 4개국은 한국시각으로 21일 새벽에 조별리그 경기를 모두 마쳤다. 예상대로 이탈리아가 3전 전승(7득점 무실점)으로 1위를 차지했으나 그 아래 순위표는 예상과...
충격의 눈물 쏟았던 루카쿠 "이 골을 에릭센에게 바칩니다"	"가족보다도 더 많은 시간을 보냈는데...." 13일(한국시간) 러시아와의 유럽축구연맹(UEFA)  조별리그 B조 첫 경기를 준비하던 벨기에 축구대표팀 로멜루 루카쿠(28·인터밀란)는 경기를 앞두고 충격적인 소식을...
‘대표팀 탈락’ 린가드의 진심 “속상했지만 사우스게이트 감독 존중”	린가드는 지난 2일(한국시간) UEFA 유럽축구선수권대회()에 나설 잉글랜드 대표팀 최종 26인 명단에서 탈락했다. 이후 부상으로 인해 낙마하는 선수가 있었지만 기회는 찾아오지 않았다. 린가드는  D조...
'본인 피셜' 에릭센, "몇 가지 검사 필요하지만, 괜찮아...덴마크 응원할 것"	그러면서 "덴마크 대표팀을 응원할 것이다"며 을 소화 중인 동료들을 응원했다. 에릭센은 지난 13일 오전 1시 덴마크와 핀란드의  B조 예선 1차전 전반 44분 경 볼을 처리하는 과정에서 갑자기 쓰러졌고...
'토트넘 전설의 굴욕'...스웨덴 유망주, "방송국에서 일하는 늙은 선수 몰라"	스웨덴은 18일(한국시간) 러시아 크레스톱스키 스타디움에서 열린 유럽축구연맹(UEFA) 유럽축구선수권대회(이하 ) E조 2차전 경기에서 에밀 포르스베리(29, RB라이프치히)의 결승골에 힘입어 슬로바키아를 1-0으로...
역대급 죽음의 조? 프랑스-포르투갈-독일 치열한 3파전	뢰브 감독은  독일 최종명단 발표 기자회견에서 "2018년에는 젊은 선수들에게 기회를 줄 때였다. 그러나 계획대로 좋은 성과를 거두지 못했다. 그래서 팀 내 리더십 측면에서 많은 부분을 가져다 줄 훔멜스와...
[유로맨] '결승골' 둠프리스, 우크라이나 왼쪽 파괴한 괴물 윙백의 등장	경기 내내 우크라이나의 측면을 파고든 덴젤 둠프리스가 결승골로 네덜란드의  첫 승을 이끌었다. 14일(한국시간) 네덜란드 암스테르담에 위치한 요한크루이프 아레나에서 열린  C조 1차전에서...
덴마크 감독의 지적, "UEFA, 코로나는 경기 연기인데 심장 마비는 왜 아냐?"	에릭센은 지난 13일 덴마크 코펜하겐에서 열린 유럽축구선수권대회() B조 조별리그 1차전 핀란드와 경기 중 갑자기 쓰러졌다. 0-0으로 맞선 전반 42분 왼쪽 터치라인 부근에서 아무런 외부 충격 없이 혼자 쓰러진...
이탈리아, 체코 4대 0 완파 '27경기 무패 행진'	이탈리아 축구대표팀이 체코를 완파하고 27경기 무패행진을 달리며  출격 준비를 마쳤습니다. 이탈리아는 이탈리아 볼로냐의 레나도 달라라 경기장에서 열린 체코와 평가전에서 4대 0 대승을 거뒀습니다....
"나 괜찮아. 빨리 돌아올게"..에릭센이 인터밀란 단톡방에 남긴 메시지	에릭센은 덴마크 코펜하겐에서 열린 핀란드와의  A조 1차전 전반 41분 의식을 잃고 쓰러졌다. 병원에서 의식을 되찾은 그는 덴마크 선수단에 '난 괜찮으니 경기를 계속하라'는 메시지를 전달한 것으로 전해졌다....
죽었다 살아난 덴마크 에릭센 ˝포기하지 않겠다˝	덴마크 축구대표팀의 유럽축구선수권대회() 경기 도중 그라운드에 쓰러진 크리스티안 에릭센(인터밀란)이 의식을 되찾은 뒤 감사 인사를 전했다.이탈리아 축구 전문기자 파브리지오 로마노 기자는 14일(한국시간)...
'화력폭발' 독일, 라트비아 7-1 대파	을 앞둔 독일이 평가전에서 라트비아를 대파했다. 독일은 8일 오전(한국시간) 독일 뒤셀도르프에서 열린 평가전에서 라트비아에 7-1 대승을 거뒀다. 독일은 권도간, 뮐러, 나브리, 베르너, 사네 등 다양한...
키예르에 쏟아진 찬사, 에릭센 부상 상황서 침착한 대응 돋보여	지난 13일(한국시각) 덴마크는 덴마크 코펜하겐 파르켄경기장에서 열린  조별리그 B조 1차전에서 핀란드에 0-1로 패했다. 하지만 이날 경기는 결과가 중요하지 않았다. 덴마크는 전반 40분 에릭센이 경기장에...
"리테일테크 수출"…신세계아이앤씨, '스파로스'로 중동 시장 개척	신세계아이앤씨는 지난해 독일 뒤셀도르프에서 열린 '샵 '에서 사우디아라비아 'GHB'에 자사의 리테일테크를 통한 비대면 유통서비스를 제안했다. 코로나19 확산으로 유통시장에 비대면 서비스에 대한 소비자...
